Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,totalsc,gender,age,source,country
4,4,4,4,4,4,4,4,4,4,40,2,66,3,US
2,2,2,2,2,2,2,2,1,1,18,1,39,1,US
4,4,4,3,4,3,4,4,4,4,38,1,31,3,GB
4,4,4,4,4,4,4,2,2,4,36,2,27,3,KR
3,3,4,3,4,3,3,4,2,3,32,2,30,3,PT
4,4,3,3,1,4,3,3,4,4,33,2,21,3,US
4,3,3,2,3,2,2,2,2,2,25,2,20,3,US
4,4,4,3,3,4,3,3,2,3,33,1,62,1,US
2,3,2,3,2,2,2,2,2,2,22,1,18,3,TR
2,2,2,2,2,2,2,2,2,2,20,2,19,3,US
3,4,3,4,3,3,3,3,2,3,31,2,35,1,US
3,3,1,3,3,3,4,4,2,3,29,1,35,3,BG
3,4,2,4,2,2,2,1,3,3,26,2,40,3,US
4,4,2,2,2,2,2,2,2,3,25,1,46,1,US
4,3,2,2,3,2,2,3,2,4,27,2,23,3,US
3,4,3,3,3,3,3,2,2,3,29,2,14,1,ES
3,3,3,3,2,2,2,3,3,3,27,1,49,1,GB
4,4,4,4,4,3,3,4,3,4,37,2,51,3,DE
4,4,4,4,4,4,4,1,4,4,37,1,20,1,US
4,4,3,2,2,3,1,1,2,2,24,1,23,3,US
3,4,3,3,3,3,3,3,3,3,31,1,21,1,NZ
3,3,2,3,2,2,1,3,2,2,23,1,49,3,IL
2,2,1,4,3,2,2,1,1,2,20,2,34,1,US
2,3,2,3,2,2,1,2,2,2,21,1,22,1,US
3,3,3,3,3,3,3,3,4,4,32,1,33,3,GB
2,3,3,4,4,4,4,2,2,2,30,2,24,3,PL
2,2,4,1,4,1,1,2,4,4,25,1,19,3,US
4,4,4,4,2,3,3,2,4,4,34,2,55,3,AU
4,3,3,3,2,2,2,2,4,4,29,1,21,1,MX
2,3,2,3,1,2,2,1,2,2,20,1,62,3,US
2,3,3,3,3,2,3,2,3,2,26,2,23,3,NL
3,3,3,3,3,3,3,3,1,3,28,1,34,1,NL
4,4,4,4,4,3,2,1,3,4,33,2,39,3,CA
4,4,1,4,1,2,2,2,1,1,22,1,45,3,US
3,3,2,3,3,2,2,1,2,2,23,2,41,1,US
3,3,3,3,3,3,3,2,3,3,29,2,20,3,US
3,3,2,3,2,2,2,2,2,1,22,2,29,3,US
4,4,4,4,1,4,4,3,4,4,36,2,28,3,PL
3,3,4,3,4,3,3,1,3,3,30,2,39,1,DE
1,3,2,2,3,4,3,1,3,3,25,2,25,3,ID
4,4,4,4,4,3,2,3,4,4,36,1,29,1,DE
3,4,1,2,2,2,1,1,1,1,18,1,49,3,IN
3,3,2,3,3,2,3,4,2,2,27,1,22,3,CA
2,3,2,2,1,2,2,2,3,3,22,2,45,1,US
1,1,1,3,1,2,2,2,1,1,15,2,39,1,GB
4,4,3,3,2,3,3,3,3,4,32,1,51,3,US
4,4,4,4,3,3,3,3,3,3,34,2,45,3,US
3,3,3,3,3,3,3,2,2,3,28,2,43,3,AU
4,4,1,4,1,3,1,3,4,3,28,2,33,1,US
3,3,2,2,3,2,2,2,2,2,23,2,46,1,US
2,2,2,2,1,2,1,1,2,2,17,1,16,1,CA
4,3,3,3,3,2,2,2,4,2,28,2,26,3,US
3,3,2,3,3,3,2,2,2,2,25,1,39,1,ZA
3,3,3,3,3,3,3,2,3,2,28,1,44,1,US
4,4,3,4,3,3,3,2,2,2,30,1,26,3,US
4,4,4,4,4,4,4,4,4,4,40,1,21,1,US
4,4,4,3,3,3,3,3,3,3,33,1,23,3,AU
2,2,2,2,1,1,1,1,1,1,14,1,41,3,US
